location_id_str,state_abbr,location_desc,race,Female,Male,male_female_diff,male_female_ratio
05031,AR,Craighead County,White,375.5,601.5,226.0,1.6018641810918774
05033,AR,Crawford County,American Indian or Alaska Native,96.9,321.5,224.6,3.3178534571723426
05033,AR,Crawford County,Asian,238.5,384.1,145.60000000000002,1.6104821802935012
05033,AR,Crawford County,Black,552.6,833.9,281.29999999999995,1.5090481360839667
05033,AR,Crawford County,Hispanic,113.9,181.2,67.29999999999998,1.590869183494293
05033,AR,Crawford County,More than one race,64.0,296.9,232.89999999999998,4.6390625
05033,AR,Crawford County,Overall,348.4,629.0,280.6,1.8053960964408726
05033,AR,Crawford County,White,370.5,674.4,303.9,1.820242914979757
05035,AR,Crittenden County,Asian,,216.2,,
05035,AR,Crittenden County,Black,437.4,866.4,429.0,1.9807956104252402
05035,AR,Crittenden County,Hispanic,95.6,241.7,146.1,2.528242677824268
05035,AR,Crittenden County,Overall,346.8,677.7,330.90000000000003,1.9541522491349481
05035,AR,Crittenden County,White,281.4,575.1,293.70000000000005,2.043710021321962
05037,AR,Cross County,Black,436.2,456.5,20.30000000000001,1.0465382851902798
05037,AR,Cross County,Overall,423.7,437.7,14.0,1.0330422468727873
05037,AR,Cross County,White,442.7,459.8,17.100000000000023,1.0386266094420602
05039,AR,Dallas County,Black,489.3,646.3,156.99999999999994,1.3208665440425096
05039,AR,Dallas County,Overall,380.1,627.0,246.89999999999998,1.64956590370955
05039,AR,Dallas County,White,369.9,624.1,254.20000000000005,1.6872127602054612
05041,AR,Desha County,Black,378.5,715.0,336.5,1.8890356671070012
05041,AR,Desha County,Overall,351.2,687.6,336.40000000000003,1.957858769931663
05041,AR,Desha County,White,323.4,726.2,402.80000000000007,2.2455163883735314
05043,AR,Drew County,Black,418.6,700.4,281.79999999999995,1.6731963688485427
05043,AR,Drew County,Overall,400.3,498.9,98.59999999999997,1.2463152635523356
05043,AR,Drew County,White,417.7,459.0,41.30000000000001,1.0988747905195115
05045,AR,Faulkner County,Black,403.5,504.4,100.89999999999998,1.2500619578686492
05045,AR,Faulkner County,Hispanic,,256.3,,
05045,AR,Faulkner County,Overall,286.9,496.9,210.0,1.7319623562216802
05045,AR,Faulkner County,White,274.2,505.4,231.2,1.8431801604668125
05047,AR,Franklin County,Hispanic,,213.6,,
05047,AR,Franklin County,Overall,351.6,611.4,259.79999999999995,1.7389078498293513
05047,AR,Franklin County,White,377.2,649.8,272.59999999999997,1.7226935312831388
05049,AR,Fulton County,Overall,320.0,545.5,225.5,1.7046875
05049,AR,Fulton County,White,329.6,562.7,233.10000000000002,1.7072208737864079
05051,AR,Garland County,Black,432.5,645.4,212.89999999999998,1.4922543352601156
05051,AR,Garland County,Overall,349.3,537.4,188.09999999999997,1.5385055825937588
05051,AR,Garland County,White,351.8,537.7,185.90000000000003,1.5284252416145538
05053,AR,Grant County,Black,397.2,532.9,135.7,1.3416414904330312
05053,AR,Grant County,Hispanic,,192.5,,
05053,AR,Grant County,Overall,320.4,594.8,274.4,1.8564294631710363
05053,AR,Grant County,White,307.6,609.3,301.69999999999993,1.980819245773732
05055,AR,Greene County,Black,454.6,996.5,541.9,2.192036955565332
05055,AR,Greene County,Overall,307.8,505.2,197.39999999999998,1.641325536062378
05055,AR,Greene County,White,322.7,520.0,197.3,1.6114037806011776
05057,AR,Hempstead County,Black,510.4,723.9,213.5,1.4182993730407523
05057,AR,Hempstead County,Overall,372.5,654.3,281.79999999999995,1.7565100671140939
05057,AR,Hempstead County,White,380.3,656.9,276.59999999999997,1.7273205364186168
05059,AR,Hot Spring County,Black,438.5,664.0,225.5,1.5142531356898519
05059,AR,Hot Spring County,Overall,348.0,622.4,274.4,1.7885057471264367
05059,AR,Hot Spring County,White,341.8,607.8,265.99999999999994,1.778232884727911
05061,AR,Howard County,Black,453.6,783.6,330.0,1.7275132275132274
05061,AR,Howard County,Overall,362.4,614.9,252.5,1.6967439293598234
05061,AR,Howard County,White,373.5,652.0,278.5,1.7456492637215528
05063,AR,Independence County,Black,516.0,,,
05063,AR,Independence County,Overall,478.3,715.4,237.09999999999997,1.495713987037424
05063,AR,Independence County,White,491.1,750.2,259.1,1.5275911219710854
05065,AR,Izard County,Overall,390.8,568.2,177.40000000000003,1.453940634595701
05065,AR,Izard County,White,402.8,590.5,187.7,1.4659880834160874
05067,AR,Jackson County,Black,457.2,662.3,205.09999999999997,1.4486001749781277
05067,AR,Jackson County,Overall,412.8,530.3,117.49999999999994,1.284641472868217
05067,AR,Jackson County,White,418.3,533.8,115.49999999999994,1.2761176189337795
05069,AR,Jefferson County,Black,467.8,614.2,146.40000000000003,1.3129542539546815
05069,AR,Jefferson County,Hispanic,,217.9,,
05069,AR,Jefferson County,Overall,388.7,633.1,244.40000000000003,1.62876254180602
05069,AR,Jefferson County,White,324.1,599.8,275.69999999999993,1.8506633755013882
05071,AR,Johnson County,Overall,366.1,568.6,202.5,1.5531275607757442
05071,AR,Johnson County,White,381.1,628.6,247.5,1.649435843610601
05073,AR,Lafayette County,Black,386.4,651.1,264.70000000000005,1.685041407867495
05073,AR,Lafayette County,Overall,327.9,583.1,255.20000000000005,1.778286062824032
05073,AR,Lafayette County,White,293.1,530.6,237.5,1.8103036506311838
05075,AR,Lawrence County,Black,427.4,764.9,337.5,1.7896583996256434
05075,AR,Lawrence County,Overall,369.0,577.0,208.0,1.5636856368563685
05075,AR,Lawrence County,White,384.1,600.2,216.10000000000002,1.5626139026295236
05077,AR,Lee County,Black,503.0,901.5,398.5,1.7922465208747516
05077,AR,Lee County,Overall,357.0,646.1,289.1,1.8098039215686275
05077,AR,Lee County,White,253.3,503.1,249.8,1.9861823924200552
05079,AR,Lincoln County,Black,467.8,658.9,191.09999999999997,1.4085079093629755
05079,AR,Lincoln County,Overall,393.7,619.5,225.8,1.573533147066294
05079,AR,Lincoln County,White,366.9,629.8,262.9,1.716544017443445
05081,AR,Little River County,American Indian or Alaska Native,465.2,453.3,-11.899999999999977,0.9744196044711952
05081,AR,Little River County,Black,482.5,924.9,442.4,1.9168911917098446
05081,AR,Little River County,Overall,417.0,683.1,266.1,1.6381294964028779
05081,AR,Little River County,White,420.9,683.7,262.80000000000007,1.6243763364219532
05083,AR,Logan County,Black,,708.5,,
05083,AR,Logan County,Hispanic,,239.9,,
05083,AR,Logan County,Overall,358.7,693.0,334.3,1.9319765821020352
05083,AR,Logan County,White,381.3,733.0,351.7,1.922370836611592
05085,AR,Lonoke County,Black,306.9,536.7,229.80000000000007,1.7487781036168135
05085,AR,Lonoke County,Hispanic,,212.4,,
05085,AR,Lonoke County,Overall,294.7,459.1,164.40000000000003,1.5578554462164915
05085,AR,Lonoke County,White,303.2,472.7,169.5,1.5590369393139842
05087,AR,Madison County,Hispanic,133.2,192.0,58.80000000000001,1.4414414414414416
05087,AR,Madison County,Overall,370.0,579.6,209.60000000000002,1.5664864864864865
05087,AR,Madison County,White,386.3,609.1,222.8,1.5767538182759513
05089,AR,Marion County,Overall,360.2,569.9,209.7,1.582176568573015
05089,AR,Marion County,White,369.4,586.0,216.60000000000002,1.5863562533838658
05091,AR,Miller County,Black,510.7,800.9,290.2,1.5682396710397493
05091,AR,Miller County,Hispanic,,216.2,,
05091,AR,Miller County,Overall,459.9,676.1,216.20000000000005,1.4701021961295935
05091,AR,Miller County,White,437.4,652.6,215.20000000000005,1.4919981710105168
05093,AR,Mississippi County,Asian,135.1,,,
05093,AR,Mississippi County,Black,467.6,688.5,220.89999999999998,1.4724123182207014
05093,AR,Mississippi County,Hispanic,318.5,231.6,-86.9,0.7271585557299843
